isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Ercan Ünal,Kartalspor,Türkiye,0-500,Ortasaha,30-40,18,367,0-100,29367,326
Lütfi Tanýl Özer,Adana Demirspor,Türkiye,0-500,Ortasaha,30-40,10,130,0-100,8377,98
Serkan Kýrýntýlý,Konyaspor,Türkiye,0-500,Kaleci,30-40,16,413,0-100,37020,413
Tolgahan Acar,Giresunspor,Türkiye,0-500,Kaleci,30-40,17,321,0-100,27984,317
Tuðrul Doðan Balcý,Mardinspor,Türkiye,0-500,Ortasaha,30-40,11,179,0-100,13270,149
Can Ulun,Ünyespor,Türkiye,0-500,Defans,30-40,13,229,0-100,17853,197
Caner Altýn,Fatih Karagümrük,Türkiye,0-500,Forvet,30-40,10,191,0-100,11000,118
Furkan Ýlker Baþtan,Aðrý 1970 Spor,Türkiye,0-500,Ortasaha,30-40,17,294,0-100,18353,199
Muhammet Þeker,Yeni Malatyaspor,Türkiye,0-500,Ortasaha,30-40,13,249,0-100,17020,193
Yasin Keleþ,1926 Bulancakspor,Türkiye,0-500,Defans,30-40,11,200,0-100,16495,186
Göksel Yaman,Çiðli Belediyespor,Türkiye,0-500,Forvet,30-40,17,291,0-100,19668,214
Ali Iþýk,Büyükçekmece Bld.,Türkiye,0-500,Ortasaha,30-40,11,249,0-100,19934,226
Behram Zülaloðlu,Esenler Erokspor,Türkiye,0-500,Kaleci,30-40,13,148,0-100,13191,146
Faruk Bayar,Orduspor,Türkiye,0-500,Ortasaha,30-40,13,229,0-100,15239,170
Ferhat Yayla,BB Erzurumspor,Türkiye,0-500,Defans,30-40,4,46,0-100,3656,45
Selçuk Þahin,Bursaspor,Türkiye,0-500,Ortasaha,30-40,20,566,0-100,38599,430
Sertaç Þahin,Dersimspor,Türkiye,0-500,Ortasaha,30-40,14,263,0-100,17415,186
Yalçýn Ayhan,Fatih Karagümrük,Türkiye,0-500,Defans,30-40,19,469,0-100,39375,442
Bekir Ozan Has,Yeþil Bursa,Türkiye,0-500,Ortasaha,30-40,14,281,0-100,19483,221
Egemen Korkmaz,BB Erzurumspor,Türkiye,0-500,Defans,30-40,18,480,0-100,40404,461
Emin Aladað,Þile Yýldýzspor,Türkiye,0-500,Ortasaha,30-40,17,402,0-100,30027,341
Ersen Bayrak,Kartepe Suadiye,Türkiye,0-500,Ortasaha,30-40,11,166,0-100,11865,136
Mamadou Tall,Persepolis,Burkina Faso,0-500,Defans,30-40,4,23,0-100,1842,22
Metin Akan,Gülbahçespor,Türkiye,0-500,Forvet,30-40,16,309,0-100,17880,193
Semih Bülbül,Kilimli Bld.,Türkiye,0-500,Defans,30-40,10,222,0-100,18608,207
Þenol Can,Fatih Karagümrük,Türkiye,0-500,Defans,30-40,16,441,0-100,37294,414
Umut Akkoç,Torbalýspor,Türkiye,0-500,Kaleci,30-40,10,144,0-100,12662,143
Bulut Basmaz,Altay,Türkiye,0-500,Kaleci,30-40,10,73,0-100,6383,72
J.E.Effa Owona,Bucak Bld.Oðuzhan,Kamerun,0-500,Forvet,30-40,7,91,0-100,5165,52
Ramazan Kurþunlu,Altay,Türkiye,0-500,Kaleci,30-40,12,175,0-100,15331,169
Sinan Kaloðlu,Mersin Ýdmanyurdu,Türkiye,0-500,Forvet,30-40,16,368,0-100,20241,206
Sadettin Özer,Mardin 47 Spor,Türkiye,0-500,Forvet,30-40,14,260,100-200,18482,205
Serhan Þahin,Gazi Mahallesi ,Türkiye,0-500,Kaleci,30-40,3,15,0-100,1311,14
Hakan Arýkan,Kayserispor,Türkiye,0-500,Kaleci,30-40,17,306,0-100,26902,298
Mutlu Kýzýltan,Ünyespor,Türkiye,0-500,Ortasaha,30-40,12,281,0-100,15418,153
Ömer Aysan Barýþ,Þanlýurfaspor,Türkiye,500-1000,Defans,30-40,14,252,0-100,17757,196
Serhat Saðat,Sivrikaya Sinerji,Türkiye,0-500,Forvet,30-40,14,256,0-100,15671,168
Uður Boral,Beþiktaþ,Türkiye,0-500,Defans,30-40,13,290,0-100,18242,210
Uðurtan Çepni,Berliner AK 07,Türkiye,0-500,Ortasaha,30-40,9,155,0-100,12458,139
Mehmet Bayram,Arnavutköy Belediye,Türkiye,0-500,Kaleci,30-40,14,201,0-100,17500,200
Taylan Eliaçýk,Ýdmanyurdu 1925,Türkiye,0-500,Forvet,30-40,15,257,100-200,16890,188
Evren Kürkçü,Gaziosmanpaþa,Türkiye,0-500,Defans,30-40,19,314,0-100,24898,275
Merthan Açýl,BB Erzurumspor,Türkiye,0-500,Defans,30-40,19,423,0-100,34854,386
Þadi Çolak,Gaziosmanpaþa,Türkiye,0-500,Forvet,30-40,13,225,0-100,12383,133
Kenan Aslanoðlu,Turgutluspor,Türkiye,0-500,Ortasaha,30-40,13,302,0-100,21477,257
Ýskender Genç,Vefa,Türkiye,0-500,Kaleci,30-40,19,267,0-100,23442,264
Serdar Aytek Çöltekin,Hatayspor,Türkiye,0-500,Forvet,30-40,10,182,0-100,11039,118
Evren Otyakmaz,Tokatspor,Türkiye,0-500,Ortasaha,30-40,7,108,0-100,8726,100
Hayrettin Yerlikaya,Sivasspor,Türkiye,500-1000,Defans,30-40,13,305,0-100,25027,282
Mehmet Yýldýz,MKE Ankaragücü,Türkiye,500-1000,Forvet,30-40,14,391,100-200,29967,340
Volkan Keskin,Zara Belediyespor,Türkiye,0-500,Forvet,30-40,13,158,0-100,9116,107
Cengiz Güner,Hekimoðlu Trabzon,Türkiye,0-500,Forvet,30-40,11,204,0-100,15432,166
Erman Ergin,Körfez Spor Kulübü,Türkiye,0-500,Ortasaha,30-40,14,325,0-100,23253,260
Sedat Bayrak,MKE Ankaragücü,Türkiye,0-500,Defans,30-40,16,355,0-100,29737,337
Þenol Erol,Çukurova Demirspor,Türkiye,0-500,Forvet,30-40,15,268,0-100,15864,176
Ufuk Ali,Arsinspor,Türkiye,0-500,Kaleci,30-40,9,119,0-100,10412,114
Ömer Ateþ,Sultanbeyli Bld.,Türkiye,0-500,Defans,30-40,14,259,0-100,20013,222
Mustafa Özgen,Turgutluspor,Türkiye,0-500,Defans,30-40,18,380,0-100,32079,358
Serdar Sinik,Ceyhanspor,Türkiye,0-500,Ortasaha,30-40,11,227,0-100,13890,149
Yiðit Ýncedemir,Fatih Karagümrük,Türkiye,0-500,Ortasaha,30-40,17,399,0-100,29621,328
Abdi Karataþ,Çorlu Kültürspor,Türkiye,0-500,Defans,30-40,11,189,0-100,12967,144
Emirhan Özdemir,Turgutluspor,Türkiye,0-500,Ortasaha,30-40,11,259,0-100,17493,196
Erdal Akyürek,Batman Petrolspor,Türkiye,0-500,Defans,30-40,14,200,0-100,15291,171
Gökhan Zan,Galatasaray,Türkiye,500-1000,Defans,30-40,15,310,0-100,25001,282
Hasan Kabze,Altýnordu,Türkiye,0-500,Forvet,30-40,17,375,0-100,21282,224
Ýlkem Özkaynak,Edirnespor,Türkiye,0-500,Defans,30-40,17,340,0-100,27631,317
Kazým Sarý,Kýrklarelispor,Türkiye,0-500,Kaleci,30-40,18,300,0-100,26353,293
Mehmet Çoðum,Karþýyaka,Türkiye,0-500,Defans,30-40,13,270,0-100,21768,240
Mehmet Topal,Baþakþehir FK,Türkiye,500-1000,Ortasaha,30-40,17,651,0-100,49474,546
Murat Önür,Kartalspor,Türkiye,0-500,Defans,30-40,15,231,0-100,18272,205
Murat Arslan,Çiðli Belediyespor,Türkiye,0-500,Forvet,30-40,15,228,0-100,15170,170
Selçuk Ýnan,Galatasaray,Türkiye,0-500,Ortasaha,30-40,18,668,0-100,52161,593
Gökhan Ünal,Van Spor,Türkiye,0-500,Forvet,30-40,20,462,100-200,27382,303
Hüseyin Yoðurtçu,Ýnegölspor,Türkiye,0-500,Defans,30-40,12,208,0-100,17073,189
Koray Karagözoðlu,Burhaniye Bld.,Türkiye,0-500,Ortasaha,30-40,14,298,0-100,20228,231
Murat Ataþ,Gaziosmanpaþa,Türkiye,0-500,Defans,30-40,11,149,0-100,11234,122
Sedat Aðçay,MKE Ankaragücü,Türkiye,0-500,Ortasaha,30-40,19,508,0-100,36888,415
Ferdi Yanýk,Atakum Belediyespor,Türkiye,0-500,Forvet,30-40,12,224,0-100,14197,153
Mahmut Erdoðdu,Sakaryaspor,Türkiye,0-500,Defans,30-40,10,137,0-100,10921,122
Mustafa Çiçek,Eyüpspor,Türkiye,0-500,Ortasaha,30-40,11,219,0-100,14565,163
Atacan Öztürk,Silivrispor,Türkiye,0-500,Kaleci,30-40,16,281,0-100,25093,278
Burak Yýlmaz,Lille,Türkiye,1000-10000,Forvet,30-40,19,598,200-500,43527,489
Enver Ekinci,Antalya Asat GK,Türkiye,0-500,Forvet,30-40,11,144,0-100,10066,114
Ferdi Zemzem,Yalovaspor,Türkiye,0-500,Defans,30-40,14,274,0-100,21800,241
Muzaffer Taþkýn,Yeþilköyspor,Türkiye,0-500,Ortasaha,30-40,16,248,0-100,16302,189
Adem Þahin,Kastamonuspor,Türkiye,0-500,Defans,30-40,10,224,0-100,19129,215
Can Emre Yücel,Kocaelispor,Türkiye,0-500,Kaleci,30-40,10,143,0-100,12850,142
Fýrat Çakmak,Gölcükspor,Türkiye,0-500,Kaleci,30-40,14,193,0-100,16954,187
Gökhan Demir,Hendek Spor,Türkiye,0-500,Forvet,30-40,18,427,100-200,27721,301
Hakan Tice,Lüleburgazspor,Türkiye,0-500,Forvet,30-40,16,340,0-100,24959,274
Ýbrahim Ege,Konyaspor,Türkiye,0-500,Ortasaha,30-40,11,163,0-100,11907,135
Kenan Baþkan,Arsinspor,Türkiye,0-500,Defans,30-40,10,165,0-100,13775,154
Kamil Aslan,Çukurova Demirspor,Türkiye,0-500,Ortasaha,30-40,11,177,0-100,12255,144
Onur Demirtaþ,Muðlaspor,Türkiye,0-500,Ortasaha,30-40,15,278,0-100,20001,226
Aydýn Arslan,Çubukspor F.A.Þ.,Türkiye,0-500,Defans,30-40,14,257,0-100,20211,224
Murat Almýþ,Keçiören Baðlumspor,Türkiye,0-500,Ortasaha,30-40,16,403,100-200,31131,354
Recep Yaþar,Fatsa Belediyespor,Türkiye,0-500,Ortasaha,30-40,18,381,0-100,26601,289
Tolga Taþ,Ortaca Belediye,Türkiye,0-500,Defans,30-40,14,290,0-100,25101,281
Mehmet Al,Sökespor,Türkiye,0-500,Forvet,30-40,15,302,0-100,16957,179
Metin Depe,Göztepe,Türkiye,1000-10000,Defans,30-40,13,221,0-100,18472,210
Sedat Ýrfan,Akhisarspor,Türkiye,0-500,Ortasaha,30-40,7,160,0-100,12650,140
Ufuk Özbek,Uþak Ýl Özel Ýdare,Türkiye,0-500,Ortasaha,30-40,15,134,0-100,8912,96
Abdulkadir Ünver,Geredespor,Türkiye,0-500,Kaleci,30-40,11,114,0-100,9945,113
Azmi Polat,Bursa Zaferspor,Türkiye,0-500,Ortasaha,30-40,16,359,0-100,26279,300
Ýbrahim Daðaþan,Antalya Kemerspor,Türkiye,500-1000,Ortasaha,30-40,15,382,0-100,26053,292
Kemal Hastürk,Gülbahçespor,Türkiye,0-500,Defans,30-40,17,387,0-100,32888,364
Umut Bulut,Yeni Malatyaspor,Türkiye,0-500,Forvet,30-40,19,682,200-500,48243,530
Aytek Aþýkoðlu,Silivrispor,Türkiye,0-500,Defans,30-40,17,401,0-100,34262,376
Nedim Gül,Eruh Gençlik,Türkiye,0-500,Defans,30-40,11,184,0-100,14875,166
Orhan Alemdar,Mamak FK,Türkiye,0-500,Ortasaha,30-40,12,197,0-100,11889,132
Serdar Karkýn,Mudanyaspor,Türkiye,0-500,Defans,30-40,13,230,0-100,18880,213
Emrah Umut,Tokatspor,Türkiye,0-500,Defans,30-40,11,162,0-100,13014,147
Yertek Baþaran,Aydýnspor 1923,Türkiye,0-500,Ortasaha,30-40,10,160,0-100,9109,105
Mustafa Sevgi,Bodrumspor,Türkiye,0-500,Ortasaha,30-40,16,340,0-100,24289,268
Evren Tozkoparan,Bayrampaþa Tunaspor,Türkiye,0-500,Ortasaha,30-40,10,131,0-100,10258,115
Mustafa Kademli,Serik Belediyespor,Türkiye,0-500,Ortasaha,30-40,12,185,0-100,13592,151
Caner Aðca,Somaspor,Türkiye,0-500,Ortasaha,30-40,14,302,0-100,20249,225
Koray Arslan,Gaziantepspor,Türkiye,0-500,Defans,30-40,13,308,0-100,24349,273
Sertan Vardar,Bucaspor,Türkiye,0-500,Ortasaha,30-40,15,351,0-100,24253,267
Taner Vatansever,1928 Bucaspor,Türkiye,0-500,Forvet,30-40,8,135,0-100,6799,70
Ozan Öztürk,Sultanbeyli Bld.,Türkiye,0-500,Kaleci,30-40,16,319,0-100,28431,316
Tuna Üzümcü,Tuzlaspor,Türkiye,0-500,Defans,30-40,15,335,0-100,27490,302
Erhan Çatalçam,Kýrýkhanspor,Türkiye,0-500,Defans,30-40,15,292,0-100,24541,274
Rýfat Özdemir,Aydýnspor,Türkiye,0-500,Defans,30-40,10,83,0-100,6181,75
Mehmet Kömürcü,Feriköy,Türkiye,0-500,Defans,30-40,14,243,0-100,19120,214
Serhat Büyükbayrak,Avcýlar Belediye,Türkiye,0-500,Defans,30-40,12,185,0-100,15652,176
Serkan Afþar,Yeþilköyspor,Türkiye,0-500,Forvet,30-40,9,110,0-100,8465,94
Ümit Aydemir,Kastamonuspor,Türkiye,0-500,Defans,30-40,14,257,0-100,18922,211
Ahmet Mercan,Gaziosmanpaþa,Türkiye,0-500,Ortasaha,30-40,14,245,0-100,17984,199
Ali Turan,Konyaspor,Türkiye,0-500,Defans,30-40,18,456,0-100,38060,427
Birol Hikmet,Gümüþhanespor,Türkiye,0-500,Ortasaha,30-40,13,287,0-100,20164,213
Hüseyin Aydoðdu,Karabiga Belediye,Türkiye,0-500,Forvet,30-40,3,26,0-100,1895,22
Ýbrahim Demir,Ladik Belediyespor,Türkiye,0-500,Ortasaha,30-40,13,264,0-100,17236,191
Murat Uluç,Altay,Türkiye,0-500,Forvet,30-40,17,364,100-200,24892,276
Cengiz Uzunköse,Beþikdüzüspor,Türkiye,0-500,Kaleci,30-40,10,79,0-100,6691,77
Ersoy Uçtu,Derikspor,Türkiye,0-500,Kaleci,30-40,14,202,0-100,18006,201
Ýzzet Akgül,Pazarspor,Türkiye,0-500,Forvet,30-40,6,75,0-100,4839,56
Muammer Sancaklý,Bozüyükspor,Türkiye,0-500,Ortasaha,30-40,11,154,0-100,11226,127
Serdar Ergelen,Sapanca Gençlikspor,Türkiye,0-500,Ortasaha,30-40,12,234,0-100,15115,167
Cumhur Gürsoy,Maltepespor,Türkiye,0-500,Ortasaha,30-40,3,44,0-100,3587,43
Levent Turan,Eyüpspor,Türkiye,0-500,Forvet,30-40,9,233,0-100,19364,217
Ahmet Gökhan Güney,Maltepespor,Türkiye,0-500,Ortasaha,30-40,13,249,0-100,18431,204
Mehmet Arslan,Ünye 1957 ,Türkiye,0-500,Defans,30-40,12,254,0-100,21062,239
Mehmet Uslu,Merzifonspor,Türkiye,0-500,Defans,30-40,10,243,0-100,20031,226
Ceyhun Yelkenci,Modafen,Türkiye,0-500,Ortasaha,30-40,18,443,0-100,32676,375
Erman Balmuk,Çayelispor,Türkiye,0-500,Ortasaha,30-40,7,114,0-100,8309,96
Ethem Bayburt,Mardin Fosfat Spor,Türkiye,0-500,Kaleci,30-40,15,284,0-100,25300,279
Ýdris Hacýfazlýoðlu,Çatalcaspor,Türkiye,0-500,Ortasaha,30-40,9,116,0-100,6022,64
Turgay Koyuncu,1922 Konyaspor,Türkiye,0-500,Ortasaha,30-40,9,192,0-100,14554,160
Barýþ Keserci,Þile Yýldýzspor,Türkiye,0-500,Defans,30-40,13,259,0-100,21470,238
Hatip Alataþ,Zeytinburnu 1957,Türkiye,0-500,Ortasaha,30-40,5,70,0-100,5825,65
Cengiz Özbek,Elmasbahçeler,Türkiye,0-500,Ortasaha,30-40,10,176,0-100,14749,163
Ramazan Altýntepe,Manisa Sanayispor,Türkiye,0-500,Ortasaha,30-40,17,477,0-100,39286,435
Erþen Çilingir,Þile Yýldýzspor,Türkiye,0-500,Kaleci,30-40,17,360,0-100,32410,358
Mehmet Ayaz,Kartalspor,Türkiye,0-500,Ortasaha,30-40,17,438,0-100,32143,361
Murat Akyüz,Vefa,Türkiye,0-500,Defans,30-40,15,303,0-100,24262,267
Olcan Adýn,Antalyaspor,Türkiye,1000-10000,Ortasaha,30-40,16,439,0-100,31813,349
Kazým Þeker,Ankara Demirspor,Türkiye,0-500,Ortasaha,30-40,14,227,0-100,15280,186
Eren Çevik,Soðuksu Yenicespor,Türkiye,0-500,Forvet,30-40,3,39,0-100,2919,35
Volkan Akagündüz,Safranboluspor,Türkiye,0-500,Kaleci,30-40,3,48,0-100,4261,48
Cem Can,Kayserispor,Türkiye,0-500,Defans,30-40,13,407,0-100,34143,384
Serkan Çelik,Bozüyük Vitraspor,Türkiye,0-500,Ortasaha,30-40,14,253,0-100,18484,210
Savaþ Esen,Gelikspor,Türkiye,0-500,Forvet,30-40,16,295,0-100,16599,179
Hakan Özkan,Turhalspor,Türkiye,0-500,Defans,30-40,15,246,0-100,20501,236
Mehmet Dönmezdemir,Turhalspor,Türkiye,0-500,Kaleci,30-40,15,208,0-100,18246,200
Orçun Arslan,Aðrý Gençlerbirliði,Türkiye,0-500,Kaleci,30-40,9,99,0-100,8813,97
Önder Serdar,Ulubey Bld.,Türkiye,0-500,Ortasaha,30-40,10,151,0-100,12348,140
Murat Türkkan,Zonguldak Kömürspor,Türkiye,0-500,Defans,30-40,18,463,0-100,38300,428
Volkan Erdoðan,Karasuspor,Türkiye,0-500,Defans,30-40,12,165,0-100,13102,148
Ferdi Yakar,Hadýrlýgücü,Türkiye,0-500,Ortasaha,30-40,4,21,0-100,1995,19
Ýbrahim Metli,Gülnar Bld.,Türkiye,0-500,Forvet,30-40,11,170,0-100,13928,155
Abuzer Þahin,Adýyaman 1954 SK,Türkiye,0-500,Forvet,30-40,12,265,0-100,17352,203
Ahmet Benli,Adýyaman Demir 02,Türkiye,0-500,Kaleci,30-40,6,59,0-100,5265,58
Ahmet Küçüktalaslý,Kayseri Yolspor,Türkiye,0-500,Forvet,30-40,9,181,0-100,12316,138
Ýbrahim Öztürk,Altay,Türkiye,0-500,Defans,30-40,18,444,0-100,37368,414
Mehmet Ali Tunç,Mersin BB MESKÝ,Türkiye,0-500,Kaleci,30-40,15,248,0-100,21309,243
Ramazan Durdu,Yahyalýspor,Türkiye,0-500,Ortasaha,30-40,18,423,0-100,31252,346
Ferhat Ertürk,Fethiyespor,Türkiye,0-500,Kaleci,30-40,8,91,0-100,7879,87
Serdar Özbayraktar,Elazýðspor,Türkiye,0-500,Forvet,30-40,19,401,0-100,25311,281
Emir Aykurt,Ceyhanspor,Türkiye,0-500,Ortasaha,30-40,5,95,0-100,7143,81
Ahmet Burak Solakel,Elazýðspor,Türkiye,0-500,Defans,30-40,20,372,0-100,29884,333
Bekir Ýrtegün,Sakaryaspor,Türkiye,1000-10000,Defans,30-40,17,382,0-100,30949,339
Harun Avgýn,Kocaalispor,Türkiye,0-500,Kaleci,30-40,11,146,0-100,12788,143
Ýbrahim Sürer,Arsuz Karaaðaç 1967,Türkiye,0-500,Defans,30-40,7,115,0-100,8895,95
Kerem Sarýhan,Eyüpspor,Türkiye,0-500,Defans,30-40,10,130,0-100,9843,107
Onur Ýçli,Arnavutköy Belediye,Türkiye,0-500,Forvet,30-40,6,20,0-100,600,6
Remzi Kýzýlþimþek,1920 Maraþspor,Türkiye,0-500,Defans,30-40,11,171,0-100,12539,142
Süleyman Varlýk,Somaspor,Türkiye,0-500,Defans,30-40,14,269,0-100,21460,242
Mehmet Akif Alýcý,Konya Ereðlispor,Türkiye,0-500,Defans,30-40,16,293,0-100,23449,266
Aykan Öksüz,1928 Bucaspor,Türkiye,0-500,Ortasaha,30-40,13,154,0-100,10435,114
Cihan Çapar,Çubukspor F.A.Þ.,Türkiye,0-500,Ortasaha,30-40,10,69,0-100,3912,40
Cüneyt Çarbuða,Büyükçekmece Bld.,Türkiye,0-500,Forvet,30-40,11,141,0-100,9647,110
Kenan Aþkan,68 Yeni Aksarayspor,Türkiye,0-500,Ortasaha,30-40,14,280,0-100,19726,217
Serkan Güney,Çorum Eti Lisesi,Türkiye,0-500,Defans,30-40,17,288,0-100,23175,258
Cengiz Çelebi,Baþkale Gençlik,Türkiye,0-500,Ortasaha,30-40,7,60,0-100,3662,44
Veysi Durmaz,Yataðanspor,Türkiye,0-500,Ortasaha,30-40,14,279,0-100,21442,242
